group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsiaCCS_nizk_verify_3072,,,,,2169364557.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2142657659.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2087239981.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2162709810.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2186737286.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2133922092.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2087661514.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2094191169.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2089203718.0,ns,1
AsiaCCS_nizk_verify_3072,,,,,2103313797.0,ns,1
