group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsiaCCS_nizk_verify_4096,,,,,4396547624.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4377859353.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4372209632.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4384233968.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4421347083.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4318392594.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4363323380.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4476627396.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4392922978.0,ns,1
AsiaCCS_nizk_verify_4096,,,,,4401672646.0,ns,1
