group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsiaCCS_nizk_prove_2048,,,,,773127673.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,782961958.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,766062705.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,785855107.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,792301546.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,778500280.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,763698635.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,792244879.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,787965183.0,ns,1
AsiaCCS_nizk_prove_2048,,,,,775229850.0,ns,1
