group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsiaCCS_nizk_prove_3072,,,,,2120898997.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2130482895.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2140075828.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2173918920.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2129469218.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2175487534.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2130657332.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2173118181.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2141497069.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2193829155.0,ns,1
